序号ID,短代码ShortKey,谜题名称Title,作者Author,查看次数Downloads,完成次数Completions,完成率CompletionRate,平均时间AverageTime,喜欢个数Likes,宽Width,高Height,分离Splitter,切割Cutter,旋转Rotater,堆叠Stacker,混色Mixer,上色Painter,垃圾桶Trash,传送带Belt,隧道Tunnel,
68,'----CuRu,recycling machine,anonymous,19,9,47.37%,8m50s,4,8,8,,,,,,,,,
69,CcCcCcCc,Thin Factory,anonymous,2841,2533,89.16%,1m30s,807,2,13,,,,,,,,,
70,'------Su:------Su:CuCuCu--,Comet Swap,anonymous,117,105,89.74%,1m42s,34,5,5,,,,,,,,,
71,CwCwCwCr,Connect the Dots 2,anonymous,918,898,97.82%,25s,185,6,6,,,,,,,,,
73,SySySySy:WcWcWcWc:CpCpCpCp,Decent Challenge,anonymous,14,5,35.71%,6m38s,2,20,14,,,,,,,,,
74,CgRrRgCr,interweaving,anonymous,15,4,26.67%,-1s,3,4,5,,,,,,,,,
75,'--Cw--Cw:Ru--Ru--,make this into logo,anonymous,1636,1223,74.76%,3m22s,516,2,9,,,,,,,,,
76,'--SbSb--:----SbSb:Sb----Sb:SbSb----,paint cut stack,anonymous,12,8,66.67%,2m14s,3,10,7,,,,,,,,,
77,RwSu----:--Rb----:WrWy----:CcSy----,Connectthelineplus,anonymous,320,104,32.50%,15m4s,55,9,9,,,,,,,,,
79,SwSwSwSw,puzzlemod remake lv2,anonymous,2093,2052,98.04%,35s,449,5,5,,,,,,,,,
81,CuRbCuRb:RcCuRcCu,One Two Four,anonymous,20,10,50.00%,10m36s,5,12,17,,,,,,,,,
82,RwRwRwRw:RbRbRbRb,puzzlemod remake lv4,anonymous,21,3,14.29%,13m47s,2,6,5,,,,,,,,,
83,RuCuSuCu,puzzlemod remake lv5,anonymous,148,50,33.78%,7m25s,25,7,5,,,,,,,,,
84,'--RcCc--:CwRw----,puzzlemod remake lv7,anonymous,69,26,37.68%,10m2s,16,7,7,,,,,,,,,
